name,molecularComplexNumber,chain,chainAtoms,chainTD,plane,planeAtoms,planeTD,framework,frameworkAtoms,frameworkTD,dimensionType_str,dimensionType,dimensionNumber
SOF/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3']],[368],3D,[1; 1; 1],3
SOR/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA5'; 'ZA6'; 'ZA7']],[1182],3D,[1; 1; 1],3
SOS/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4']],[4525],3D,[1; 1; 1],3
SOV/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA7'; 'ZA8'; 'ZA10'; 'ZA13'; 'ZA14']],[473],3D,[1; 1; 1],3
SSF/PPT 1,1,[],[],[],[[[0; 0; 1]]],[['ZA5'; 'ZA6']],[104],[],[],[],2D,[1; 1; 0],2
SSY/PPT 1,0,[[[1; 0; 0]]],[['ZA1'; 'ZA5']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
STF/PPT 1,1,[[[0; 0; 1]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
STI/PPT 1,1,[],[],[],[[[0; 0; 1]]],[['ZA1'; 'ZA2']],[264],[],[],[],2D,[1; 1; 0],2
STT/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
STW/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2']],[1231],3D,[1; 1; 1],3
SVR/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4'; 'ZA6']],[1295],3D,[1; 1; 1],3
SVV/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
SWY/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3']],[3170],3D,[1; 1; 1],3
SZR/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA5']],[512],3D,[1; 1; 1],3
TER/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
THO/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4'; 'ZA5']],[1149],3D,[1; 1; 1],3
TOL/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
TON/PPT 1,0,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
TSC/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA5']],[5370],3D,[1; 1; 1],3
TUN/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA4'; 'ZA5'; 'ZA7'; 'ZA9'; 'ZA12'; 'ZA16']],[199],3D,[1; 1; 1],3
UEI/PPT 1,0,[],[],[],[[[1; 0; 0]]],[['ZA1'; 'ZA2']],[166],[],[],[],2D,[0; 1; 1],2
UFI/PPT 1,1,[],[],[],[[[0; 0; 1]]],[['ZA2']],[221],[],[],[],2D,[1; 1; 0],2
UOS/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA5']],[1004],3D,[1; 1; 1],3
UOV/NT,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA8'; 'ZA9'; 'ZA11'; 'ZA12'; 'ZA13'; 'ZA21'; 'ZA22'; 'ZA26']],[1076],3D,[1; 1; 1],3
UOZ/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
USI/NT,0,[],[],[],[[[1; 0; 0]]],[['ZA1'; 'ZA2'; 'ZA4']],[166],[],[],[],2D,[0; 1; 1],2
UTL/NT,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
UWY/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA3'; 'ZA4'; 'ZA5'; 'ZA7'; 'ZA11'; 'ZA12'; 'ZA14'; 'ZA16']],[752],3D,[1; 1; 1],3
VET/PPT 1,1,[[[0; 0; 1]]],[['ZA3']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
VFI/PPT 1,0,[[[0; 0; 1]]],[['ZA3']],[21],[[[0; 0; 1]]],[['ZA1'; 'ZA2'; 'ZA4'; 'ZA5']],[40],[],[],[],1D2D,[1; 1; 1],3
VNI/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA4'; 'ZA5'; 'ZA6']],[2221],3D,[1; 1; 1],3
VSV/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3'; 'ZA4']],[688],3D,[1; 1; 1],3
WEI/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[1489],3D,[1; 1; 1],3
WEN/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4'; 'ZA5']],[582],3D,[1; 1; 1],3
YFI/PPT 1,2,[[[0; 0; 1]]],[['ZA5'; 'ZA9']],[21],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4'; 'ZA6'; 'ZA7'; 'ZA12']],[313],1D3D,[1; 1; 1],3
YUG/PPT 1,0,[],[],[],[[[0; 1; 0]]],[['ZA1'; 'ZA2']],[216],[],[],[],2D,[1; 0; 1],2
ZJN/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
ZON/PPT 1,1,[],[],[],[[[0; 0; 1]]],[['ZA2']],[221],[],[],[],2D,[1; 1; 0],2
